day	animal	weight_g
1	17	26.5
1	18	25.1
1	19	25
1	20	26.200000000000003
1	21	21.2
1	22	25.5
1	23	22.9
1	24	23.099999999999998
1	25	25.3
1	26	25.5
1	27	24.6
1	28	25.4
1	29	25.7
1	30	23.599999999999998
1	31	27.7
1	32	22.9
2	17	24.400000000000002
2	18	23.099999999999998
2	19	23.5
2	20	23.599999999999998
2	21	20.2
2	22	23.8
2	23	20.8
2	24	21.7
2	25	22.3
2	26	24
2	27	23.599999999999998
2	28	23
2	29	23.599999999999998
2	30	22.1
2	31	24.9
2	32	21.2
3	18	22.8
3	19	22.4
3	20	24.9
3	21	20
3	22	23.900000000000002
3	23	20.6
3	24	21.5
3	25	22.700000000000003
3	26	24.9
3	27	23.8
3	28	23
3	29	23.900000000000002
3	30	23.099999999999998
3	31	25.6
3	32	21.5
4	18	23.7
4	19	23.099999999999998
4	20	24.400000000000002
4	21	21.2
4	22	24
4	23	21.2
4	24	22.700000000000003
4	25	24
4	26	23.099999999999998
4	27	24.400000000000002
4	28	23.3
4	29	25.2
4	30	25.1
4	31	25.9
4	32	21.7
5	18	23.8
5	19	24
5	20	24.9
5	21	21.9
5	22	25.4
5	23	21.4
5	24	22.599999999999998
5	25	25.2
5	26	23.5
5	27	24
5	28	23.8
5	29	25.6
5	30	22.3
5	31	26.4
5	32	21.4
6	18	24.1
6	19	24.1
6	20	25.3
6	21	21.9
6	22	25.3
6	23	21.9
6	24	23
6	25	25.2
6	26	24.2
6	27	23.7
6	28	24.400000000000002
6	29	29.9
6	30	22.4
6	31	26.3
6	32	22
7	18	23.900000000000002
7	19	24.2
7	20	25.5
7	21	21.1
7	22	24.8
7	23	21.2
7	24	22.599999999999998
7	25	25
7	26	23.099999999999998
7	27	23.099999999999998
7	28	23.8
7	29	26
7	30	22.4
7	31	25.9
7	32	21.4
8	18	23.099999999999998
8	19	23.5
8	20	24.7
8	21	20.400000000000002
8	22	24.299999999999997
8	23	20.6
8	24	22
8	25	23.8
8	26	23.8
8	27	22.2
8	28	23.599999999999998
8	29	25.4
8	30	21.6
8	31	25.1
8	32	21.2
9	18	23.7
9	19	24.6
9	20	24.8
9	21	21
9	22	24.400000000000002
9	23	21.7
9	24	22
9	25	23.900000000000002
9	26	24.1
9	27	23.599999999999998
9	28	24.400000000000002
9	29	26.700000000000003
9	30	21.9
9	31	24.8
9	32	21.5
10	18	23
10	19	24.400000000000002
10	20	24.5
10	21	20.6
10	22	24.5
10	23	21.5
10	24	21.9
10	25	23.900000000000002
10	26	22.9
10	27	22.8
10	28	22.700000000000003
10	29	25.5
10	30	22.2
10	31	24.2
10	32	22.1
11	18	22.4
11	19	23.2
11	20	24.6
11	21	19.8
11	22	23.099999999999998
11	23	20.5
11	24	21.8
11	25	23.900000000000002
11	26	22
11	27	22.599999999999998
11	28	20.8
11	29	24
11	30	21.1
11	32	20.6
12	18	21.5
12	19	22.3
12	20	23.2
12	21	19.400000000000002
12	22	22.5
12	23	20
12	24	21.4
12	25	24.5
12	26	22.599999999999998
12	27	22.5
12	28	20.5
12	29	21.2
12	30	24
12	32	19.8
13	18	21.2
13	19	22.3
13	20	23.3
13	21	17.5
13	22	21.9
13	23	19
13	24	20.7
13	25	22.1
13	26	22.1
13	27	21.5
13	28	20.7
13	29	23.3
13	30	21
13	32	19.7
14	18	21.5
14	19	21.6
14	20	23.900000000000002
14	21	17.8
14	22	21.8
14	23	19
14	24	20.1
14	25	21.9
14	26	21.9
14	27	21.6
14	28	21.5
14	29	23.3
14	30	20.6
14	32	19.400000000000002
15	19	21.4
15	20	22
15	21	18
15	24	19.8
15	29	22.3
15	30	19.5
