plate	inlet	sample_name	animal	gn_rs	nfl
18	3	MD-1-4	1	3	379
18	4	MD-2-4	2	3	253
18	5	MD-3-4	3	3	315
18	6	MD-4-4	4	3	157
18	7	MD-5-4	5	3	254
18	8	MD-6-4	6	3	167
18	9	MD-7-4	7	3	230
18	10	MD-8-4	8	3	79.1
18	11	MD-9-4	9	3	202
18	12	MD-10-4	10	3	294
18	13	MD-11-4	11	3	212
18	14	MD-12-4	12	3	108
18	15	MD-13-4	13	3	296
18	16	MD-14-4	14	3	525
18	17	MD-15-4	15	3	214
18	18	MD-16-4	16	3	283
18	19	MD-17-4	17	3	191
18	20	MD-18-4	18	3	201
18	21	MD-19-4	19	3	171
18	22	MD-20-4	20	3	175
18	23	MD-21-4	21	2	125
18	24	MD-22-4	22	3	337
18	25	MD-23-4	23	3	135
18	26	MD-24-4	24	3	265
18	27	MD-25-4	25	3	201
18	28	MD-26-4	26	3	743
18	29	MD-27-4	27	3	383
18	30	MD-28-4	28	3	330
18	31	MD-29-4	29	3	299
18	32	MD-30-4	30	3	313
18	33	MD-31-4	31	3	309
18	34	MD-32-4	32	3	175
18	35	MD-33-4	33	3	251
18	36	MD-34-4	34	3	352
18	37	MD-35-4	35	3	453
18	38	MD-36-4	36	3	280
18	39	MD-37-4	37	3	206
18	40	MD-38-4	38	3	251
18	41	MD-39-4	39	3	108
18	42	MD-40-4	40	3	243
18	43	MD-41-4	41	3	99.1
18	44	MD-42-4	42	3	79.3
18	45	MD-43-4	43	3	156
18	46	MD-44-4	44	3	260
18	47	MD-45-4	45	3	238
18	48	MD-46-4	46	3	210
18	49	MD-47-4	47	3	242
18	50	MD-48-4	48	3	148
18	51	MD-49-4	49	3	136
18	52	MD-50-4	50	3	119
18	53	MD-51-4	51	3	118
18	54	MD-52-4	52	3	309
18	55	MD-53-4	53	3	114
18	56	MD-54-4	54	3	104
18	57	MD-55-4	55	3	103
18	58	MD-56-4	56	3	162
18	59	MD-57-4	57	3	96.2
18	60	MD-58-4	58	3	199
18	61	MD-59-4	59	3	102
18	62	MD-60-4	60	3	173
